algorithm,scenario_type,fixed_value,seed,highway_length,min_trip_length,capacity_min,capacity_max,num_av,num_pv,enable_time_constraints,time_tolerance,time_window,runtime_sec,baseline_total_distance,greedy_total_distance,total_saving,matched_pv,matched_ratio,avg_saving_per_pv,saving_percent
hungarian,pv_sweep,160,43,100,10,1,3,160,400,True,5.0,100.0,34.288748792008846,18366,9905,8461,272,0.68,31.106617647058822,46.06882282478493
hungarian,pv_sweep,160,44,100,10,1,3,160,400,True,5.0,100.0,50.89185262500541,18343,9997,8346,271,0.6775,30.797047970479706,45.49964564138909
hungarian,av_sweep,200,42,100,10,1,3,10,200,True,5.0,100.0,0.918130750011187,6430,6040,390,17,0.085,22.941176470588236,6.065318818040436
hungarian,av_sweep,200,43,100,10,1,3,10,200,True,5.0,100.0,0.9246886250039097,6346,5869,477,17,0.085,28.058823529411764,7.516545855657107
hungarian,av_sweep,200,44,100,10,1,3,10,200,True,5.0,100.0,0.9863813749980181,6218,5696,522,17,0.085,30.705882352941178,8.394982309424252
hungarian,av_sweep,200,42,100,10,1,3,20,200,True,5.0,100.0,0.9971471250028117,6628,5817,811,32,0.16,25.34375,12.235968617984309
hungarian,av_sweep,200,43,100,10,1,3,20,200,True,5.0,100.0,1.3626501670078142,6771,5825,946,34,0.17,27.823529411764707,13.971348397577907
hungarian,av_sweep,200,44,100,10,1,3,20,200,True,5.0,100.0,1.0709547500009649,6483,5624,859,33,0.165,26.03030303030303,13.250038562393954
hungarian,av_sweep,200,42,100,10,1,3,40,200,True,5.0,100.0,1.7703154999908293,7460,5646,1814,65,0.325,27.907692307692308,24.316353887399465
hungarian,av_sweep,200,43,100,10,1,3,40,200,True,5.0,100.0,2.284074999988661,7429,5672,1757,65,0.325,27.03076923076923,23.650558621617986
hungarian,av_sweep,200,44,100,10,1,3,40,200,True,5.0,100.0,2.7275586670002667,7186,5459,1727,70,0.35,24.67142857142857,24.03284163651545
hungarian,av_sweep,200,42,100,10,1,3,80,200,True,5.0,100.0,4.6436111249931855,8798,5341,3457,116,0.58,29.801724137931036,39.29302114116845
hungarian,av_sweep,200,43,100,10,1,3,80,200,True,5.0,100.0,5.342757665988756,9043,4926,4117,141,0.705,29.19858156028369,45.52692690478823
hungarian,av_sweep,200,44,100,10,1,3,80,200,True,5.0,100.0,3.188231125008315,8737,5398,3339,125,0.625,26.712,38.216779214833466
hungarian,av_sweep,200,42,100,10,1,3,160,200,True,5.0,100.0,13.137203833990498,11476,6240,5236,181,0.905,28.92817679558011,45.62565353781805
hungarian,av_sweep,200,43,100,10,1,3,160,200,True,5.0,100.0,10.3085085000057,11738,6229,5509,186,0.93,29.618279569892472,46.93303799625149
hungarian,av_sweep,200,44,100,10,1,3,160,200,True,5.0,100.0,10.993308250006521,11516,6199,5317,181,0.905,29.375690607734807,46.17054532823897
hungarian,av_sweep,400,42,100,10,1,3,10,400,True,5.0,100.0,7.419704709012876,12641,12222,419,17,0.0425,24.647058823529413,3.3146111858239062
hungarian,av_sweep,400,43,100,10,1,3,10,400,True,5.0,100.0,7.488571334004519,12589,12079,510,17,0.0425,30.0,4.051155770911112
hungarian,av_sweep,400,44,100,10,1,3,10,400,True,5.0,100.0,7.511117625006591,12705,12093,612,20,0.05,30.6,4.817001180637544
hungarian,av_sweep,400,42,100,10,1,3,20,400,True,5.0,100.0,7.777316958003212,12949,12034,915,33,0.0825,27.727272727272727,7.06618271681211
hungarian,av_sweep,400,43,100,10,1,3,20,400,True,5.0,100.0,7.779202916004579,12991,11931,1060,35,0.0875,30.285714285714285,8.159495035024248
hungarian,av_sweep,400,44,100,10,1,3,20,400,True,5.0,100.0,7.9386597919947235,12971,11968,1003,39,0.0975,25.71794871794872,7.732634338138926
hungarian,av_sweep,400,42,100,10,1,3,40,400,True,5.0,100.0,11.876735375000862,13818,11711,2107,71,0.1775,29.676056338028168,15.24822695035461
hungarian,av_sweep,400,43,100,10,1,3,40,400,True,5.0,100.0,12.066237708000699,13756,11662,2094,71,0.1775,29.492957746478872,15.222448386158769
hungarian,av_sweep,400,44,100,10,1,3,40,400,True,5.0,100.0,12.469812291994458,13684,11737,1947,72,0.18,27.041666666666668,14.22829581993569
hungarian,av_sweep,400,42,100,10,1,3,80,400,True,5.0,100.0,26.81318724999437,15286,10937,4349,137,0.3425,31.744525547445257,28.450870077194818
hungarian,av_sweep,400,43,100,10,1,3,80,400,True,5.0,100.0,19.993156291995547,15284,10426,4858,156,0.39,31.141025641025642,31.784873069876994
hungarian,av_sweep,400,44,100,10,1,3,80,400,True,5.0,100.0,14.930958292010473,15254,11013,4241,146,0.365,29.04794520547945,27.802543595122593
hungarian,av_sweep,400,42,100,10,1,3,160,400,True,5.0,100.0,41.906516041999566,18300,9893,8407,271,0.6775,31.022140221402214,45.939890710382514
hungarian,av_sweep,400,43,100,10,1,3,160,400,True,5.0,100.0,34.338838833005866,18366,9905,8461,272,0.68,31.106617647058822,46.06882282478493
hungarian,av_sweep,400,44,100,10,1,3,160,400,True,5.0,100.0,51.23437037499389,18343,9997,8346,271,0.6775,30.797047970479706,45.49964564138909
hungarian,av_sweep,800,42,100,10,1,3,10,800,True,5.0,100.0,61.240039459007676,25780,25350,430,17,0.02125,25.294117647058822,1.6679596586501164
hungarian,av_sweep,800,43,100,10,1,3,10,800,True,5.0,100.0,61.67005491700547,25931,25413,518,17,0.02125,30.470588235294116,1.9976090393737225
hungarian,av_sweep,800,44,100,10,1,3,10,800,True,5.0,100.0,62.18119499999739,25819,25196,623,20,0.025,31.15,2.412951702234788
hungarian,av_sweep,800,42,100,10,1,3,20,800,True,5.0,100.0,61.60652354201011,25995,25052,943,34,0.0425,27.735294117647058,3.6276206962877477
hungarian,av_sweep,800,43,100,10,1,3,20,800,True,5.0,100.0,61.6826618329942,26430,25328,1102,35,0.04375,31.485714285714284,4.169504351116156
hungarian,av_sweep,800,44,100,10,1,3,20,800,True,5.0,100.0,62.66587174999586,26053,25005,1048,40,0.05,26.2,4.022569377806779
hungarian,av_sweep,800,42,100,10,1,3,40,800,True,5.0,100.0,66.0928887080081,26592,24393,2199,73,0.09125,30.123287671232877,8.269404332129964
hungarian,av_sweep,800,43,100,10,1,3,40,800,True,5.0,100.0,65.19117941700097,27041,24808,2233,74,0.0925,30.175675675675677,8.257830701527311
hungarian,av_sweep,800,44,100,10,1,3,40,800,True,5.0,100.0,66.11264704199857,26829,24779,2050,74,0.0925,27.7027027027027,7.640985500764098
hungarian,av_sweep,800,42,100,10,1,3,80,800,True,5.0,100.0,99.37720370899478,27825,23131,4694,140,0.175,33.52857142857143,16.86972147349506
hungarian,av_sweep,800,43,100,10,1,3,80,800,True,5.0,100.0,98.80320554200443,28865,23666,5199,158,0.1975,32.90506329113924,18.01143253074658
hungarian,av_sweep,800,44,100,10,1,3,80,800,True,5.0,100.0,72.04522633299348,28186,23639,4547,148,0.185,30.722972972972972,16.132122330234868
hungarian,av_sweep,800,42,100,10,1,3,160,800,True,5.0,100.0,155.48055162500532,30825,21290,9535,293,0.36625,32.54266211604096,30.932684509326847
hungarian,av_sweep,800,43,100,10,1,3,160,800,True,5.0,100.0,194.06094770799973,31728,22068,9660,301,0.37625,32.093023255813954,30.44629349470499
hungarian,av_sweep,800,44,100,10,1,3,160,800,True,5.0,100.0,162.5763726669975,30885,21328,9557,299,0.37375,31.963210702341136,30.94382386271653
