algorithm,scenario_type,fixed_value,seed,highway_length,min_trip_length,capacity_min,capacity_max,num_av,num_pv,runtime_sec,baseline_total_distance,greedy_total_distance,total_saving,matched_pv,matched_ratio,avg_saving_per_pv,saving_percent
greedy,av_sweep,200,44,100,10,1,3,160,200,0.005350667051970959,11833,5386,6447,196,0.98,32.892857142857146,54.483224879574074
greedy,av_sweep,200,45,100,10,1,3,160,200,0.005897250026464462,12077,5337,6740,197,0.985,34.213197969543145,55.808561728906184
greedy,av_sweep,200,46,100,10,1,3,160,200,0.006081749917939305,12259,5373,6886,200,1.0,34.43,56.17097642548332
greedy,av_sweep,200,42,100,10,1,3,320,200,0.012436458142474294,16478,10128,6350,200,1.0,31.75,38.536230125015166
greedy,av_sweep,200,43,100,10,1,3,320,200,0.010942459106445312,17382,10625,6757,200,1.0,33.785,38.87354734783109
greedy,av_sweep,200,44,100,10,1,3,320,200,0.010812584077939391,16605,10287,6318,200,1.0,31.59,38.048780487804876
greedy,av_sweep,200,45,100,10,1,3,320,200,0.011418999871239066,16404,10456,5948,200,1.0,29.74,36.259448914898805
greedy,av_sweep,200,46,100,10,1,3,320,200,0.012372916098684072,17054,10778,6276,200,1.0,31.38,36.800750557054066
greedy,av_sweep,400,42,100,10,1,3,10,400,0.0006134579889476299,13371,13061,310,16,0.04,19.375,2.318450377683045
greedy,av_sweep,400,43,100,10,1,3,10,400,0.0007055420428514481,13253,12415,838,21,0.0525,39.904761904761905,6.3230966573605984
greedy,av_sweep,400,44,100,10,1,3,10,400,0.0007049581035971642,13351,12583,768,20,0.05,38.4,5.7523780990188
greedy,av_sweep,400,45,100,10,1,3,10,400,0.0007327499333769083,13361,12632,729,20,0.05,36.45,5.456178429758252
greedy,av_sweep,400,46,100,10,1,3,10,400,0.0007114170584827662,13941,13281,660,20,0.05,33.0,4.734237142242307
greedy,av_sweep,400,42,100,10,1,3,20,400,0.0014249170199036598,13531,12548,983,35,0.0875,28.085714285714285,7.264799349641564
greedy,av_sweep,400,43,100,10,1,3,20,400,0.0013709159102290869,13656,12010,1646,43,0.1075,38.27906976744186,12.053309900410076
greedy,av_sweep,400,44,100,10,1,3,20,400,0.0014046251308172941,13890,12523,1367,38,0.095,35.973684210526315,9.841612670986322
greedy,av_sweep,400,45,100,10,1,3,20,400,0.0012923749163746834,13771,12632,1139,40,0.1,28.475,8.271004284365697
greedy,av_sweep,400,46,100,10,1,3,20,400,0.0015008749905973673,14343,12681,1662,42,0.105,39.57142857142857,11.58753398870529
greedy,av_sweep,400,42,100,10,1,3,40,400,0.0025979168713092804,13864,11879,1985,77,0.1925,25.77922077922078,14.317657241777265
greedy,av_sweep,400,43,100,10,1,3,40,400,0.0028057920280843973,14420,11549,2871,87,0.2175,33.0,19.90984743411928
greedy,av_sweep,400,44,100,10,1,3,40,400,0.0028555828612297773,14410,11633,2777,78,0.195,35.6025641025641,19.271339347675227
greedy,av_sweep,400,45,100,10,1,3,40,400,0.003026458900421858,14795,11962,2833,81,0.2025,34.97530864197531,19.14836093274755
greedy,av_sweep,400,46,100,10,1,3,40,400,0.003190958173945546,15157,12298,2859,78,0.195,36.65384615384615,18.862571749026852
greedy,av_sweep,400,42,100,10,1,3,80,400,0.005934125045314431,15289,10964,4325,155,0.3875,27.903225806451612,28.288311858198707
greedy,av_sweep,400,43,100,10,1,3,80,400,0.005936832865700126,15614,10058,5556,168,0.42,33.07142857142857,35.583450749327525
greedy,av_sweep,400,44,100,10,1,3,80,400,0.005649124970659614,15919,10242,5677,160,0.4,35.48125,35.66178780074125
greedy,av_sweep,400,45,100,10,1,3,80,400,0.005692042177543044,15968,10626,5342,165,0.4125,32.375757575757575,33.454408817635276
greedy,av_sweep,400,46,100,10,1,3,80,400,0.0060508339665830135,16398,11076,5322,164,0.41,32.451219512195124,32.45517746066594
greedy,av_sweep,400,42,100,10,1,3,160,400,0.011500083142891526,17559,8425,9134,312,0.78,29.275641025641026,52.018907682669855
greedy,av_sweep,400,43,100,10,1,3,160,400,0.011678208131343126,18527,8220,10307,309,0.7725,33.35598705501618,55.63232039725805
greedy,av_sweep,400,44,100,10,1,3,160,400,0.012458791956305504,18256,8118,10138,307,0.7675,33.0228013029316,55.53242769500438
greedy,av_sweep,400,45,100,10,1,3,160,400,0.012678749859333038,18236,8240,9996,309,0.7725,32.349514563106794,54.814652336038606
greedy,av_sweep,400,46,100,10,1,3,160,400,0.01197116682305932,18609,8769,9840,319,0.7975,30.846394984326018,52.87763985168466
greedy,av_sweep,400,42,100,10,1,3,320,400,0.023477665847167373,22580,10204,12376,397,0.9925,31.173803526448363,54.809565987599655
greedy,av_sweep,400,43,100,10,1,3,320,400,0.023717042058706284,23225,10645,12580,400,1.0,31.45,54.16576964477934
greedy,av_sweep,400,44,100,10,1,3,320,400,0.024853041861206293,23438,10391,13047,400,1.0,32.6175,55.666012458400886
greedy,av_sweep,400,45,100,10,1,3,320,400,0.021755499998107553,22595,10473,12122,400,1.0,30.305,53.649037397654354
greedy,av_sweep,400,46,100,10,1,3,320,400,0.023726166924461722,23430,10863,12567,396,0.99,31.734848484848484,53.63636363636364
greedy,av_sweep,800,42,100,10,1,3,10,800,0.0012400420382618904,25766,25456,310,16,0.02,19.375,1.203135915547621
greedy,av_sweep,800,43,100,10,1,3,10,800,0.001455916091799736,25924,25086,838,21,0.02625,39.904761904761905,3.2325258447770406
greedy,av_sweep,800,44,100,10,1,3,10,800,0.0014216669369488955,26332,25564,768,20,0.025,38.4,2.9166033723226494
greedy,av_sweep,800,45,100,10,1,3,10,800,0.001470915973186493,25903,25174,729,20,0.025,36.45,2.814345828668494
greedy,av_sweep,800,46,100,10,1,3,10,800,0.0014779579360038042,26838,26178,660,20,0.025,33.0,2.4591996422982336
greedy,av_sweep,800,42,100,10,1,3,20,800,0.0028426668141037226,25938,24955,983,35,0.04375,28.085714285714285,3.7898064615621867
greedy,av_sweep,800,43,100,10,1,3,20,800,0.002945000072941184,26398,24750,1648,43,0.05375,38.325581395348834,6.242897189180999
greedy,av_sweep,800,44,100,10,1,3,20,800,0.0030938340350985527,26897,25530,1367,38,0.0475,35.973684210526315,5.082351191582704
greedy,av_sweep,800,45,100,10,1,3,20,800,0.0029558329842984676,26060,24921,1139,40,0.05,28.475,4.370683039140445
greedy,av_sweep,800,46,100,10,1,3,20,800,0.003471583127975464,27138,25476,1662,42,0.0525,39.57142857142857,6.1242538138403715
greedy,av_sweep,800,42,100,10,1,3,40,800,0.005581334000453353,26350,24365,1985,77,0.09625,25.77922077922078,7.533206831119545
greedy,av_sweep,800,43,100,10,1,3,40,800,0.005534332944080234,27055,24179,2876,87,0.10875,33.05747126436781,10.630197745333579
greedy,av_sweep,800,44,100,10,1,3,40,800,0.006162208039313555,27516,24730,2786,78,0.0975,35.717948717948715,10.125018171245822
greedy,av_sweep,800,45,100,10,1,3,40,800,0.006319750100374222,27090,24255,2835,81,0.10125,35.0,10.465116279069768
greedy,av_sweep,800,46,100,10,1,3,40,800,0.006430000066757202,27889,25030,2859,78,0.0975,36.65384615384615,10.25135358026462
greedy,av_sweep,800,42,100,10,1,3,80,800,0.012111791875213385,27729,23400,4329,155,0.19375,27.929032258064517,15.611814345991561
greedy,av_sweep,800,43,100,10,1,3,80,800,0.011123750125989318,28295,22723,5572,168,0.21,33.166666666666664,19.692525181127408
greedy,av_sweep,800,44,100,10,1,3,80,800,0.011891917092725635,28914,23220,5694,160,0.2,35.5875,19.69288234073459
greedy,av_sweep,800,45,100,10,1,3,80,800,0.011816042009741068,28172,22789,5383,165,0.20625,32.624242424242425,19.10762459179327
greedy,av_sweep,800,46,100,10,1,3,80,800,0.01232041697949171,29046,23719,5327,164,0.205,32.48170731707317,18.339874681539627
greedy,av_sweep,800,42,100,10,1,3,160,800,0.02324933302588761,30075,20704,9371,316,0.395,29.65506329113924,31.158769742310888
greedy,av_sweep,800,43,100,10,1,3,160,800,0.024626958183944225,31110,20038,11072,335,0.41875,33.05074626865672,35.5898424943748
greedy,av_sweep,800,44,100,10,1,3,160,800,0.02377850003540516,31073,20662,10411,313,0.39125,33.26198083067093,33.50497216232743
greedy,av_sweep,800,45,100,10,1,3,160,800,0.024948625126853585,31018,20488,10530,320,0.4,32.90625,33.94803017602682
greedy,av_sweep,800,46,100,10,1,3,160,800,0.024292959133163095,31490,21509,9981,319,0.39875,31.288401253918494,31.695776436964117
greedy,av_sweep,800,42,100,10,1,3,320,800,0.049492749851197004,35746,16157,19589,626,0.7825,31.292332268370608,54.800537123034744
